kommune,k1to5,men_muni_pct,men_hed_share,workforce_mwr,income_mwr,ptwork_r,ffquota_share,busbal_lev,pubsec_bal,privsec_bal,leader_dist,secscho_bal
Tolga,0.88,0.93,0.6,0.99,0.83,0.52,0.69,0.51,0.56,0.56,0.96,0.65
Tynset,0.96,0.74,0.64,0.99,0.79,0.48,0.75,0.57,0.51,0.64,0.91,0.72
Alvdal,0.91,0.82,0.65,0.97,0.74,0.42,0.8,0.51,0.5,0.64,0.68,0.69
Folldal,0.92,0.71,0.63,0.99,0.82,0.52,0.79,0.51,0.52,0.6,0.85,0.67
Os (Hedm.),0.93,0.82,0.69,0.96,0.77,0.45,0.6,0.52,0.48,0.63,0.72,0.61
Lillehammer,0.94,0.94,0.86,0.95,0.72,0.45,0.75,0.66,0.69,0.77,0.72,0.76
Gjøvik,0.92,0.89,0.8,0.93,0.73,0.45,0.67,0.59,0.58,0.69,0.65,0.66
Dovre,0.88,0.82,0.72,0.98,0.74,0.49,0.67,0.52,0.65,0.71,0.76,0.61
Lesja,0.91,0.82,0.55,0.96,0.67,0.47,0.79,0.5,0.52,0.6,0.76,0.7
Skjåk,0.91,0.57,0.59,0.94,0.72,0.44,0.8,0.51,0.5,0.57,0.88,0.67
Lom,0.91,0.82,0.56,0.92,0.78,0.47,0.86,0.49,0.52,0.58,0.59,0.64
Vågå,0.91,0.71,0.64,0.93,0.67,0.37,0.72,0.47,0.49,0.63,0.8,0.6
Nord-Fron,0.95,0.56,0.59,0.89,0.65,0.38,0.77,0.48,0.52,0.63,0.67,0.58
Sel,0.89,0.56,0.63,0.98,0.78,0.49,0.74,0.51,0.55,0.63,0.81,0.63
Sør-Fron,0.9,0.95,0.66,0.93,0.69,0.4,0.64,0.48,0.5,0.61,0.61,0.54
Ringebu,0.92,0.76,0.62,0.96,0.71,0.42,0.67,0.5,0.46,0.64,0.78,0.64
Øyer,0.93,0.96,0.66,0.93,0.73,0.36,0.63,0.54,0.58,0.66,0.69,0.72
Gausdal,0.88,0.7,0.58,0.96,0.73,0.4,0.72,0.49,0.51,0.63,0.68,0.66
Østre Toten,0.89,0.62,0.66,0.95,0.73,0.4,0.7,0.51,0.51,0.65,0.63,0.63
Vestre Toten,0.93,0.84,0.67,0.91,0.74,0.37,0.67,0.53,0.55,0.69,0.68,0.59
Jevnaker,0.89,0.84,0.67,0.91,0.71,0.42,0.68,0.51,0.53,0.7,0.78,0.64
Lunner,0.9,0.96,0.71,0.93,0.7,0.35,0.74,0.56,0.58,0.73,0.64,0.66
Gran,0.89,0.67,0.68,0.91,0.69,0.35,0.71,0.55,0.57,0.73,0.72,0.66
Søndre Land,0.84,0.56,0.63,0.93,0.81,0.36,0.65,0.47,0.5,0.57,0.58,0.57
Nordre Land,0.89,0.81,0.61,0.91,0.75,0.44,0.7,0.49,0.5,0.59,0.64,0.57
Sør-Aurdal,0.87,0.88,0.55,0.94,0.73,0.38,0.74,0.49,0.47,0.55,0.62,0.63
