kommune,k1to5,men_muni_pct,men_hed_share,workforce_mwr,income_mwr,ptwork_r,ffquota_share,busbal_lev,pubsec_bal,privsec_bal,leader_dist,secscho_bal
Vågsøy,0.87,0.59,0.77,0.91,0.58,0.42,0.71,0.53,0.47,0.67,0.57,0.59
Selje,0.75,0.59,0.64,0.9,0.53,0.3,0.54,0.46,0.42,0.58,0.81,0.59
Eid,0.97,0.62,0.67,0.96,0.7,0.46,0.84,0.51,0.53,0.63,0.77,0.64
Hornindal,0.89,0.82,0.55,0.95,0.73,0.29,0.85,0.48,0.49,0.71,0.82,0.6
Gloppen,0.91,0.67,0.68,0.95,0.7,0.39,0.75,0.52,0.5,0.68,0.76,0.65
Stryn,0.92,0.48,0.67,0.95,0.66,0.47,0.75,0.53,0.49,0.64,0.74,0.65
Molde,0.94,0.98,0.79,0.94,0.7,0.51,0.72,0.6,0.62,0.68,0.68,0.7
Ålesund,0.93,0.78,0.81,0.94,0.66,0.42,0.73,0.58,0.55,0.72,0.66,0.7
Kristiansund,0.92,0.84,0.76,0.91,0.65,0.4,0.67,0.57,0.56,0.68,0.63,0.63
Vanylven,0.92,0.86,0.57,0.9,0.6,0.27,0.63,0.4,0.45,0.58,0.86,0.57
Sande (M. og R.),0.86,0.67,0.6,0.86,0.57,0.29,0.58,0.4,0.34,0.57,0.66,0.62
Herøy (M. og R.),0.94,0.91,0.67,0.89,0.51,0.24,0.73,0.48,0.4,0.69,0.61,0.64
Ulstein,0.95,0.64,0.75,0.9,0.63,0.28,0.74,0.54,0.47,0.68,0.48,0.68
Hareid,0.92,0.95,0.65,0.93,0.6,0.36,0.74,0.48,0.38,0.68,0.6,0.58
Volda,0.98,0.59,0.73,0.92,0.72,0.37,0.76,0.57,0.63,0.62,0.64,0.67
Ørsta,0.94,0.73,0.63,0.93,0.65,0.35,0.67,0.48,0.43,0.59,0.66,0.58
Ørskog,0.95,0.71,0.74,0.99,0.7,0.37,0.69,0.49,0.45,0.61,0.65,0.61
Norddal,0.91,0.59,0.64,0.93,0.7,0.47,0.72,0.42,0.45,0.63,0.98,0.62
Stranda,0.89,0.64,0.75,0.94,0.69,0.57,0.78,0.61,0.5,0.74,0.64,0.73
Stordal,0.89,0.8,0.85,0.93,0.73,0.35,0.75,0.46,0.45,0.63,0.51,0.72
Sykkylven,0.9,0.69,0.75,0.94,0.69,0.34,0.78,0.61,0.47,0.75,0.51,0.64
Skodje,0.88,0.67,0.62,0.93,0.61,0.31,0.7,0.45,0.44,0.61,0.6,0.6
Sula,0.93,0.69,0.67,0.92,0.64,0.44,0.76,0.47,0.46,0.65,0.62,0.65
Giske,0.94,0.61,0.73,0.92,0.56,0.32,0.76,0.47,0.47,0.7,0.71,0.67
Haram,0.92,0.81,0.74,0.91,0.58,0.32,0.63,0.46,0.4,0.65,0.51,0.62
Vestnes,0.92,0.7,0.68,0.95,0.68,0.4,0.58,0.43,0.47,0.57,0.64,0.64
Rauma,0.92,0.67,0.68,0.94,0.66,0.46,0.75,0.51,0.52,0.68,0.7,0.61
Nesset,0.83,0.76,0.45,0.97,0.67,0.33,0.67,0.37,0.39,0.51,0.81,0.56
Midsund,0.86,0.82,0.57,0.9,0.54,0.22,0.71,0.43,0.36,0.54,0.59,0.57
Sandøy,0.92,0.74,0.73,0.91,0.46,0.3,0.71,0.41,0.41,0.55,0.5,0.69
Aukra,0.9,0.76,0.67,0.93,0.6,0.44,0.73,0.46,0.43,0.59,0.74,0.66
Fræna,0.87,0.77,0.55,0.93,0.65,0.37,0.76,0.46,0.4,0.62,0.71,0.6
Eide,0.91,0.57,0.55,0.94,0.63,0.36,0.65,0.44,0.35,0.58,0.78,0.62
Averøy,0.94,0.52,0.6,0.87,0.59,0.44,0.69,0.43,0.35,0.61,0.67,0.62
Gjemnes,0.93,0.59,0.58,0.92,0.66,0.44,0.78,0.43,0.43,0.56,0.57,0.65
Tingvoll,0.96,0.8,0.64,0.94,0.71,0.34,0.63,0.49,0.48,0.58,0.87,0.66
Sunndal,0.96,0.81,0.76,0.94,0.69,0.34,0.71,0.47,0.45,0.62,0.79,0.61
Surnadal,0.96,0.96,0.63,0.93,0.71,0.43,0.78,0.48,0.46,0.62,0.75,0.56
Rindal,0.89,0.94,0.46,0.94,0.74,0.5,0.74,0.43,0.36,0.56,0.77,0.67
Halsa,0.84,0.8,0.54,0.95,0.69,0.47,0.76,0.45,0.44,0.53,0.69,0.75
Smøla,0.95,0.95,0.63,0.9,0.62,0.32,0.61,0.42,0.43,0.54,0.94,0.6
Aure,0.93,0.76,0.59,0.94,0.71,0.37,0.77,0.44,0.43,0.54,0.9,0.53
Trondheim,0.95,0.84,0.92,0.94,0.7,0.48,0.74,0.68,0.7,0.75,0.67,0.71
Hemne,1,0.43,0.73,0.9,0.68,0.29,0.8,0.44,0.43,0.67,0.73,0.57
Snillfjord,1,0.59,0.4,1,0.74,0.32,0.75,0.38,0.4,0.46,0.77,0.68
Hitra,0.84,0.78,0.7,0.93,0.68,0.43,0.59,0.51,0.44,0.64,0.64,0.68
Frøya,0.91,0.7,0.65,0.94,0.49,0.49,0.65,0.49,0.45,0.62,0.77,0.67
Ørland,0.9,0.72,0.76,0.9,0.67,0.34,0.66,0.52,0.92,0.78,0.74,0.6
Agdenes,0.94,0.59,0.55,0.9,0.68,0.47,0.69,0.38,0.51,0.56,0.73,0.63
Rissa,0.85,0.61,0.69,0.93,0.68,0.36,0.73,0.47,0.53,0.63,0.6,0.57
Bjugn,0.89,0.76,0.68,0.95,0.67,0.3,0.67,0.47,0.6,0.64,0.7,0.58
Åfjord,0.93,0.95,0.69,0.94,0.68,0.44,0.72,0.45,0.48,0.6,0.77,0.58
Roan,0.76,0.71,0.55,0.93,0.69,0.35,0.8,0.42,0.34,0.6,0.93,0.49
Osen,0.98,0.67,0.58,0.98,0.7,0.38,0.75,0.36,0.56,0.54,0.87,0.68
Oppdal,0.97,0.96,0.71,0.94,0.71,0.46,0.73,0.51,0.59,0.74,0.83,0.62
Rennebu,0.81,0.95,0.48,0.91,0.72,0.38,0.79,0.48,0.46,0.59,0.89,0.57
Meldal,0.86,0.63,0.66,0.92,0.63,0.42,0.63,0.47,0.43,0.59,0.7,0.58
Orkdal,0.93,0.8,0.67,0.91,0.69,0.38,0.72,0.5,0.45,0.62,0.65,0.63
Røros,0.93,0.67,0.67,0.95,0.79,0.45,0.7,0.58,0.56,0.77,0.85,0.66
Holtålen,0.87,0.8,0.71,0.94,0.72,0.36,0.69,0.42,0.56,0.65,0.81,0.58
Midtre Gauldal,0.9,0.73,0.58,0.96,0.7,0.38,0.76,0.52,0.49,0.69,0.78,0.62
Melhus,0.91,0.76,0.64,0.92,0.68,0.33,0.78,0.52,0.49,0.64,0.61,0.66
Skaun,0.89,0.96,0.67,0.93,0.72,0.32,0.79,0.5,0.47,0.62,0.82,0.63
Klæbu,0.95,0.96,0.69,0.95,0.7,0.36,0.79,0.54,0.52,0.68,0.6,0.64
Malvik,0.89,0.97,0.75,0.93,0.68,0.38,0.76,0.57,0.61,0.72,0.62,0.68
Selbu,0.88,0.56,0.58,0.92,0.7,0.37,0.78,0.48,0.51,0.61,0.67,0.54
Tydal,0.9,0.71,0.43,0.98,0.73,0.4,0.9,0.47,0.54,0.6,0.88,0.49
Steinkjer,0.93,0.94,0.74,0.94,0.72,0.39,0.64,0.59,0.61,0.71,0.74,0.68
Namsos,0.91,0.96,0.61,0.93,0.75,0.47,0.66,0.55,0.57,0.67,0.68,0.67
Meråker,0.88,0.95,0.64,0.95,0.75,0.5,0.67,0.45,0.49,0.65,0.66,0.59
Stjørdal,0.95,0.88,0.76,0.92,0.69,0.37,0.7,0.57,0.61,0.74,0.71,0.65
Frosta,0.91,0.94,0.63,0.93,0.68,0.32,0.56,0.55,0.49,0.63,0.68,0.65
Leksvik,0.96,0.88,0.7,0.88,0.71,0.32,0.78,0.46,0.4,0.6,0.72,0.6
Levanger,0.94,0.91,0.68,0.93,0.72,0.4,0.72,0.54,0.59,0.65,0.72,0.67
Verdal,0.94,0.97,0.62,0.91,0.69,0.34,0.67,0.46,0.49,0.65,0.68,0.63
Mosvik (-2011),0,0,0,0,0,0,0,0,0,0,0,0
Verran,0.88,0.63,0.59,0.95,0.74,0.36,0.62,0.42,0.46,0.56,0.6,0.59
Namdalseid,0.83,0.84,0.54,0.96,0.74,0.39,0.63,0.46,0.53,0.55,0.72,0.6
Inderøy (-2011),0,0,0,0,0,0,0,0,0,0,0,0
Snåase - Snåsa,0.97,0.95,0.57,0.92,0.81,0.43,0.65,0.54,0.61,0.63,0.91,0.64
Lierne,0.97,0.93,0.54,0.97,0.72,0.47,0.89,0.42,0.51,0.51,0.75,0.7
Raarvihke - Røyrvik,0.94,0.92,0.55,0.97,0.84,0.42,0.5,0.47,0.61,0.5,0.6,0.68
Namsskogan,0.89,0.77,0.58,0.93,0.68,0.67,0.65,0.46,0.61,0.65,0.87,0.6
Grong,0.93,0.82,0.53,0.96,0.84,0.41,0.71,0.51,0.59,0.6,0.85,0.64
Høylandet,0.92,0.74,0.51,0.96,0.66,0.45,0.77,0.44,0.44,0.49,0.8,0.59
Overhalla,0.92,0.86,0.54,0.92,0.71,0.37,0.65,0.47,0.47,0.53,0.63,0.58
Fosnes,0.96,0.92,0.51,0.96,0.75,0.48,0.5,0.49,0.53,0.5,0.84,0.61
Flatanger,1,0.93,0.61,0.87,0.68,0.35,0.45,0.46,0.48,0.54,0.44,0.59
Vikna,0.98,0.61,0.62,0.91,0.63,0.32,0.75,0.51,0.49,0.68,0.68,0.67
Nærøy,0.87,0.44,0.57,0.92,0.72,0.42,0.67,0.47,0.47,0.6,0.8,0.66
Leka,0.82,0.93,0.5,0.99,0.63,0.38,0.6,0.42,0.42,0.51,1,0.56
Bodø,0.95,0.77,0.76,0.94,0.74,0.47,0.75,0.62,0.73,0.73,0.79,0.65
Narvik,0.91,0.63,0.83,0.95,0.74,0.43,0.65,0.57,0.66,0.66,0.68,0.68
Bindal,0.9,0.71,0.62,0.91,0.79,0.47,0.56,0.42,0.56,0.5,0.76,0.72
Sømna,1.03,0.82,0.54,0.93,0.72,0.39,0.59,0.5,0.5,0.62,0.85,0.62
Brønnøy,0.92,0.59,0.77,0.95,0.69,0.37,0.63,0.55,0.63,0.65,0.75,0.64
Vega,0.91,0.93,0.43,0.94,0.72,0.45,0.5,0.47,0.46,0.6,0.81,0.6
Vevelstad,0.9,0.92,0.43,0.87,0.76,0.29,0.75,0.36,0.43,0.5,0.8,0.63
Herøy (Nordl.),0.9,0.95,0.65,0.94,0.67,0.49,0.77,0.43,0.39,0.61,0.6,0.63
Alstahaug,0.92,0.96,0.67,0.93,0.76,0.37,0.63,0.54,0.55,0.64,0.82,0.61
Leirfjord,0.92,0.84,0.66,0.95,0.77,0.35,0.6,0.48,0.51,0.54,0.88,0.66
Vefsn,0.93,0.83,0.74,0.92,0.76,0.39,0.77,0.54,0.64,0.67,0.76,0.61
Grane,0.95,0.82,0.48,0.97,0.76,0.37,0.69,0.45,0.55,0.54,0.73,0.61
Hattfjelldal,0.87,0.94,0.68,0.96,0.83,0.37,0.82,0.47,0.51,0.46,0.7,0.64
Dønna,0.95,0.71,0.61,0.99,0.72,0.36,0.73,0.44,0.54,0.59,0.9,0.62
Nesna,1.02,0.94,0.75,0.94,0.88,0.52,0.45,0.57,0.73,0.64,0.76,0.58
Hemnes,0.91,0.61,0.57,0.95,0.74,0.4,0.57,0.47,0.49,0.56,0.77,0.55
Rana,0.94,0.97,0.75,0.93,0.74,0.38,0.68,0.55,0.59,0.65,0.74,0.61
Lurøy,0.96,0.42,0.63,0.98,0.7,0.32,0.7,0.52,0.51,0.62,0.68,0.64
Træna,0.82,0.73,0.65,0.92,0.66,0.29,0.67,0.48,0.54,0.6,0.94,0.57
Rødøy,0.88,0.82,0.5,0.92,0.67,0.25,0.87,0.4,0.41,0.47,0.86,0.53
Meløy,0.91,0.61,0.71,0.94,0.66,0.31,0.61,0.44,0.44,0.57,0.81,0.59
Gildeskål,0.91,0.71,0.78,0.95,0.73,0.44,0.71,0.47,0.56,0.52,0.71,0.58
Beiarn,0.84,0.93,0.6,0.91,0.75,0.36,0.58,0.5,0.51,0.52,0.77,0.55
Saltdal,0.94,0.76,0.69,0.95,0.74,0.29,0.59,0.51,0.54,0.63,0.78,0.58
Fauske,0.95,0.89,0.74,0.93,0.71,0.37,0.69,0.55,0.61,0.68,0.8,0.62
Sørfold,0.76,0.76,0.51,0.88,0.66,0.35,0.63,0.41,0.43,0.5,0.85,0.63
Steigen,0.92,0.71,0.6,0.92,0.7,0.3,0.52,0.47,0.45,0.59,0.94,0.63
Hamarøy - Hábmer,0.95,0.59,0.72,0.98,0.79,0.45,0.61,0.51,0.58,0.53,0.64,0.67
Divtasvuodna - Tysfjord,0.95,0.47,0.6,0.98,0.79,0.37,0.59,0.45,0.51,0.52,0.81,0.6
Lødingen,0.83,0.82,0.75,0.95,0.77,0.42,0.5,0.53,0.68,0.63,0.89,0.67
Tjeldsund,0.92,0.82,0.7,0.97,0.74,0.44,0.73,0.48,0.83,0.74,0.91,0.54
Evenes,0.8,0.94,0.77,0.89,0.74,0.39,0.7,0.53,0.69,0.68,0.63,0.59
Ballangen,0.93,0.47,0.62,0.89,0.72,0.35,0.53,0.42,0.46,0.49,0.62,0.55
Røst,0.78,0.36,0.53,0.88,0.56,0.4,0.67,0.35,0.36,0.59,0.83,0.47
Værøy,0.86,0.92,0.46,0.96,0.54,0.31,0.5,0.37,0.29,0.55,0.92,0.49
Flakstad,0.66,0.73,0.55,0.87,0.61,0.37,0.5,0.43,0.49,0.58,0.79,0.62
Vestvågøy,0.92,0.79,0.67,0.93,0.71,0.36,0.66,0.53,0.55,0.64,0.74,0.62
Vågan,0.89,0.76,0.72,0.93,0.73,0.46,0.58,0.59,0.58,0.73,0.73,0.63
Hadsel,0.94,0.72,0.73,0.94,0.73,0.48,0.67,0.53,0.6,0.63,0.82,0.65
Bø (Nordl.),0.91,0.74,0.59,0.92,0.72,0.23,0.4,0.39,0.39,0.49,0.88,0.59
Øksnes,0.84,0.67,0.55,0.95,0.63,0.23,0.5,0.51,0.46,0.64,0.62,0.57
Sortland,0.94,0.96,0.75,0.92,0.7,0.4,0.6,0.59,0.6,0.71,0.71,0.63
Andøy,0.93,0.52,0.74,0.88,0.68,0.31,0.64,0.51,0.83,0.7,0.83,0.6
Moskenes,0.9,0.91,0.5,0.85,0.65,0.34,0.56,0.33,0.34,0.5,0.73,0.63
Harstad (-2012),0,0,0,0,0,0,0,0,0,0,0,0
Tromsø,0.96,0.95,0.76,0.95,0.77,0.54,0.73,0.63,0.7,0.7,0.76,0.7
Kvæfjord,0.83,0.43,0.69,0.97,0.83,0.48,0.53,0.53,0.56,0.5,0.6,0.67
Skånland,0.88,0.67,0.68,0.88,0.76,0.46,0.65,0.5,0.6,0.57,0.86,0.6
Bjarkøy (-2012),0,0,0,0,0,0,0,0,0,0,0,0
Ibestad,0.96,0.53,0.78,0.98,0.74,0.35,0.53,0.47,0.5,0.56,0.73,0.65
Gratangen,0.73,0.8,0.55,1,0.77,0.38,0.47,0.49,0.59,0.53,0.82,0.59
Loabák - Lavangen,0.89,0.53,0.72,0.98,0.83,0.41,0.58,0.49,0.63,0.52,0.7,0.57
Bardu,0.93,0.63,0.79,0.92,0.76,0.31,0.77,0.52,0.95,0.7,0.81,0.69
Salangen,1.03,0.95,0.66,0.98,0.88,0.52,0.43,0.53,0.74,0.52,0.73,0.65
Målselv,0.95,0.88,0.78,0.93,0.7,0.39,0.75,0.54,0.94,0.67,0.85,0.6
Sørreisa,0.87,0.93,0.64,0.94,0.7,0.36,0.65,0.51,0.7,0.65,0.81,0.61
Dyrøy,0.89,0.43,0.65,0.98,0.82,0.45,0.59,0.41,0.49,0.5,0.7,0.5
Tranøy,0.95,0.71,0.72,0.97,0.75,0.27,0.56,0.48,0.52,0.52,0.81,0.62
Torsken,0.92,0.67,0.58,0.97,0.72,0.49,0.77,0.5,0.59,0.52,0.59,0.72
Berg,0.95,0.53,0.71,0.94,0.71,0.6,0.5,0.47,0.49,0.61,0.74,0.52
Lenvik,0.93,0.77,0.66,0.93,0.68,0.37,0.64,0.56,0.6,0.64,0.75,0.65
Balsfjord,0.84,0.95,0.53,0.59,0.72,0.3,0.71,0.43,0.5,0.53,0.69,0.57
Karlsøy,0.8,0.47,0.51,0.94,0.74,0.36,0.71,0.47,0.46,0.5,0.79,0.62
Lyngen,0.92,0.63,0.64,0.91,0.76,0.37,0.51,0.47,0.53,0.52,0.82,0.64
Storfjord - Omasvuotna - Omasvuono,0.9,0.82,0.52,0.99,0.82,0.45,0.83,0.53,0.56,0.63,1,0.57
Gáivuotna - Kåfjord,0.82,0.82,0.55,0.96,0.83,0.45,0.59,0.52,0.62,0.5,0.74,0.63
Skjervøy,0.89,0.63,0.63,0.92,0.72,0.33,0.66,0.47,0.58,0.62,0.67,0.71
Nordreisa,0.88,0.95,0.64,0.94,0.78,0.41,0.74,0.52,0.54,0.64,0.96,0.69
Kvænangen,0.81,0.53,0.72,0.97,0.75,0.45,0.41,0.4,0.6,0.43,0.73,0.69
Vardø,0.88,0.42,0.92,0.93,0.79,0.63,0.56,0.56,0.83,0.49,0.67,0.66
Vadsø,0.95,0.72,0.71,0.98,0.89,0.65,0.69,0.69,0.74,0.65,0.93,0.66
Hammerfest,0.91,0.9,0.65,0.93,0.76,0.48,0.68,0.57,0.59,0.6,0.74,0.56
Guovdageaidnu - Kautokeino,0.87,0.74,0.4,0.96,0.88,0.57,0.37,0.55,0.64,0.57,0.89,0.65
Alta,0.91,0.8,0.63,0.94,0.76,0.46,0.69,0.57,0.6,0.71,0.71,0.64
Loppa,0.84,0.67,0.5,0.92,0.75,0.31,0.75,0.43,0.57,0.45,0.93,0.72
Hasvik,0.85,0.8,0.56,0.93,0.8,0.6,0.63,0.54,0.66,0.55,0.87,0.48
Kvalsund,0.86,0.53,0.46,0.97,0.79,0.37,0.6,0.47,0.66,0.49,0.76,0.59
Måsøy,0.84,0.53,0.46,0.91,0.73,0.53,0.87,0.44,0.53,0.52,0.62,0.67
Nordkapp,0.84,0.63,0.59,0.91,0.7,0.43,0.49,0.55,0.67,0.61,0.81,0.7
Porsanger - Porsángu - Porsanki,0.87,0.95,0.52,0.76,0.83,0.42,0.71,0.58,0.68,0.73,0.8,0.58
Kárásjohka - Karasjok,0.94,0.95,0.5,0.97,0.97,0.59,0.57,0.58,0.64,0.57,0.89,0.69
Lebesby,0.86,0.89,0.47,0.97,0.85,0.47,0.55,0.56,0.63,0.53,0.67,0.57
Gamvik,0.79,0.46,0.81,0.99,0.82,0.35,0.38,0.52,0.65,0.52,0.74,0.66
Berlevåg,0.84,0.92,0.53,0.95,0.73,0.53,0.71,0.51,0.55,0.62,0.75,0.51
Deatnu - Tana,0.88,0.84,0.47,0.98,0.87,0.42,0.64,0.54,0.52,0.57,0.79,0.63
Unjárga - Nesseby,0.88,0.93,0.51,0.99,0.87,0.49,0.64,0.52,0.69,0.54,0.97,0.77
Båtsfjord,0.85,0.8,0.54,0.93,0.75,0.5,0.53,0.58,0.51,0.63,0.57,0.61
Sør-Varanger,0.92,0.97,0.62,0.95,0.8,0.52,0.76,0.64,0.71,0.65,0.85,0.55
